Basque,Catalan,Dutch,Filipino,Finnish,French,German,Haitian Creole,Hindi,Indonesian,Italian,Lithuanian,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Undefined,Vietnamese
2020-01-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2020-01-24,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-01-25,0,0,3,0,0,8,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0
2020-01-26,0,0,2,0,0,4,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2020-01-27,0,0,0,0,0,11,15,0,0,0,23,1,0,0,17,1,0,0,0,0,0
2020-01-28,0,0,3,0,0,29,14,0,0,0,21,3,0,1,20,0,0,0,0,0,0
2020-01-29,0,0,4,0,0,17,17,0,0,0,15,1,0,1,15,0,0,0,0,0,0
2020-01-30,0,0,1,0,0,21,6,0,0,0,24,0,0,0,9,1,0,0,0,0,0
2020-01-31,0,0,0,0,0,6,11,0,0,0,8,0,0,3,4,0,0,0,0,0,0
2020-02-01,0,0,3,0,0,12,5,0,0,0,4,0,0,2,4,0,0,0,0,0,0
2020-02-02,0,0,1,0,1,10,5,0,0,0,3,0,0,0,3,1,0,0,0,0,0
2020-02-03,0,0,0,0,1,5,7,0,0,0,2,0,0,0,5,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,6,9,0,0,0,2,1,0,4,0,0,0,0,0,0,0
2020-02-05,0,0,5,0,3,2,1,0,0,0,2,8,0,0,1,0,0,0,0,0,0
2020-02-06,0,0,2,0,1,1,3,0,0,0,8,0,0,0,4,1,0,0,0,0,0
2020-02-07,0,0,4,0,0,9,2,0,0,0,5,3,0,0,2,0,0,0,0,0,0
2020-02-08,0,0,1,0,0,4,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0
2020-02-10,0,0,2,0,0,3,1,0,0,0,6,1,0,1,1,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,5,2,0,0,0,8,1,0,1,14,0,0,0,0,0,0
2020-02-12,0,0,0,0,2,8,6,0,0,0,4,0,0,0,10,1,0,0,0,0,0
2020-02-13,0,0,2,0,1,11,5,0,0,0,13,1,0,2,11,0,0,0,0,0,0
2020-02-14,0,0,3,0,0,7,4,0,0,0,3,1,0,0,2,0,0,0,0,0,0
2020-02-15,0,0,1,0,0,9,1,0,0,0,5,1,0,0,7,0,0,0,0,0,0
2020-02-16,0,0,1,0,0,1,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0
2020-02-17,0,0,1,0,0,1,2,0,0,0,2,0,0,2,3,0,0,0,0,0,0
2020-02-18,0,0,2,0,0,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
2020-02-19,0,0,2,0,0,1,5,0,0,0,5,2,0,1,3,0,0,0,0,0,0
2020-02-20,0,0,0,0,1,3,0,0,0,0,7,3,0,1,4,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,10,1,0,0,0,11,0,0,3,7,0,0,0,0,0,0
2020-02-22,0,0,3,0,0,3,2,0,0,0,11,1,0,1,5,0,0,0,0,0,0
2020-02-23,0,0,4,0,0,1,0,0,0,0,17,2,0,1,0,0,0,0,0,0,0
2020-02-24,0,0,8,0,2,9,3,0,0,0,24,0,0,5,5,2,0,0,0,0,0
2020-02-25,0,0,12,0,2,3,2,0,0,0,9,0,0,1,0,1,0,0,0,0,0
2020-02-26,0,0,17,0,1,17,2,0,0,0,23,4,0,10,7,0,1,0,0,0,0
2020-02-27,0,0,16,0,1,14,10,0,0,0,10,1,0,1,23,0,0,0,0,0,0
2020-02-28,0,0,12,0,2,10,7,0,0,0,12,6,0,30,14,3,1,0,0,0,0
2020-02-29,0,0,7,0,1,5,9,0,0,0,25,2,0,25,11,2,0,0,0,0,0
2020-03-01,0,0,8,0,1,13,5,0,0,0,20,1,0,13,15,0,0,0,0,0,0
2020-03-02,0,0,17,0,0,35,16,0,0,0,10,3,0,29,7,1,0,0,0,0,0
2020-03-03,0,0,9,0,3,24,27,0,0,0,17,4,0,9,8,0,0,0,0,0,0
2020-03-04,0,0,4,0,0,24,24,0,0,0,22,0,0,17,9,2,0,0,0,0,0
2020-03-05,0,0,8,0,2,11,11,0,0,0,38,0,0,17,8,1,0,0,0,0,0
2020-03-06,0,0,6,0,1,14,20,0,0,0,17,4,0,8,4,0,0,0,0,0,0
2020-03-07,0,1,2,0,3,8,12,0,0,0,10,0,0,7,3,0,0,0,0,0,0
2020-03-08,0,0,27,0,0,6,10,0,0,0,21,1,0,2,3,2,1,0,0,0,0
2020-03-09,0,0,7,0,1,32,14,0,0,0,28,1,0,24,5,4,0,0,0,0,0
2020-03-10,0,0,10,0,0,22,20,0,0,0,23,2,0,10,13,3,0,0,0,0,0
2020-03-11,0,0,19,1,2,25,30,0,0,1,29,3,0,15,5,1,0,0,0,0,0
