lang,sentiment,count
bg,Negative,5
bg,Neutral,370
bg,Positive,8
ca,Negative,1
ca,Neutral,21
ca,Positive,2
cs,Negative,33
cs,Neutral,869
cs,Positive,72
da,Negative,58
da,Neutral,598
da,Positive,117
de,Negative,332
de,Neutral,9456
de,Positive,702
el,Negative,18
el,Neutral,922
el,Positive,21
en,Negative,79170
en,Neutral,131231
en,Positive,114570
es,Negative,7
es,Neutral,180
es,Positive,11
et,Negative,14
et,Neutral,192
et,Positive,26
eu,Negative,0
eu,Neutral,3
eu,Positive,0
fi,Negative,26
fi,Neutral,1220
fi,Positive,34
fr,Negative,1269
fr,Neutral,20129
fr,Positive,1850
hi,Negative,0
hi,Neutral,1
hi,Positive,0
ht,Negative,0
ht,Neutral,8
ht,Positive,11
hu,Negative,4
hu,Neutral,158
hu,Positive,15
in,Negative,3
in,Neutral,12
in,Positive,1
it,Negative,929
it,Neutral,12341
it,Positive,817
iw,Negative,0
iw,Neutral,353
iw,Positive,2
lt,Negative,27
lt,Neutral,898
lt,Positive,24
lv,Negative,14
lv,Neutral,286
lv,Positive,23
nl,Negative,594
nl,Neutral,11278
nl,Positive,1000
no,Negative,2
no,Neutral,1
no,Positive,0
pl,Negative,113
pl,Neutral,3177
pl,Positive,234
pt,Negative,438
pt,Neutral,15025
pt,Positive,481
ro,Negative,44
ro,Neutral,505
ro,Positive,57
sl,Negative,13
sl,Neutral,363
sl,Positive,24
sv,Negative,1
sv,Neutral,8
sv,Positive,0
tl,Negative,8
tl,Neutral,38
tl,Positive,36
tr,Negative,0
tr,Neutral,1
tr,Positive,0
und,Negative,0
und,Neutral,1
und,Positive,0
vi,Negative,1
vi,Neutral,3
vi,Positive,0
