date,Neutral,Opponents,Supporters
2020-01-09 00:00:00+00:00,0,0,1
2020-01-19 00:00:00+00:00,0,0,1
2020-01-20 00:00:00+00:00,1,0,0
2020-01-21 00:00:00+00:00,0,1,2
2020-01-22 00:00:00+00:00,0,3,2
2020-01-23 00:00:00+00:00,0,4,6
2020-01-24 00:00:00+00:00,96,2,9
2020-01-25 00:00:00+00:00,9,3,16
2020-01-26 00:00:00+00:00,13,3,14
2020-01-27 00:00:00+00:00,35,9,154
2020-01-28 00:00:00+00:00,55,22,89
2020-01-29 00:00:00+00:00,43,12,58
2020-01-30 00:00:00+00:00,15,8,42
2020-01-31 00:00:00+00:00,35,17,102
2020-02-01 00:00:00+00:00,24,7,49
2020-02-02 00:00:00+00:00,25,28,111
2020-02-03 00:00:00+00:00,21,16,89
2020-02-04 00:00:00+00:00,37,17,52
2020-02-05 00:00:00+00:00,30,16,30
2020-02-06 00:00:00+00:00,26,11,76
2020-02-07 00:00:00+00:00,13,15,33
2020-02-08 00:00:00+00:00,23,18,29
2020-02-09 00:00:00+00:00,27,11,38
2020-02-10 00:00:00+00:00,29,17,32
2020-02-11 00:00:00+00:00,38,27,57
2020-02-12 00:00:00+00:00,58,51,61
2020-02-13 00:00:00+00:00,62,41,60
2020-02-14 00:00:00+00:00,49,17,40
2020-02-15 00:00:00+00:00,20,12,26
2020-02-16 00:00:00+00:00,20,10,54
2020-02-17 00:00:00+00:00,28,20,36
2020-02-18 00:00:00+00:00,43,10,31
2020-02-19 00:00:00+00:00,46,15,48
2020-02-20 00:00:00+00:00,70,27,45
2020-02-21 00:00:00+00:00,126,24,51
2020-02-22 00:00:00+00:00,38,13,26
2020-02-23 00:00:00+00:00,42,10,40
2020-02-24 00:00:00+00:00,85,30,99
2020-02-25 00:00:00+00:00,49,31,72
2020-02-26 00:00:00+00:00,79,38,113
2020-02-27 00:00:00+00:00,74,35,137
2020-02-28 00:00:00+00:00,113,61,163
2020-02-29 00:00:00+00:00,96,54,113
2020-03-01 00:00:00+00:00,66,44,81
2020-03-02 00:00:00+00:00,82,76,129
2020-03-03 00:00:00+00:00,86,66,131
2020-03-04 00:00:00+00:00,84,54,204
2020-03-05 00:00:00+00:00,110,58,164
2020-03-06 00:00:00+00:00,159,69,162
2020-03-07 00:00:00+00:00,116,44,152
2020-03-08 00:00:00+00:00,139,63,138
2020-03-09 00:00:00+00:00,168,76,169
2020-03-10 00:00:00+00:00,190,95,226
2020-03-11 00:00:00+00:00,148,91,259
2020-03-12 00:00:00+00:00,238,95,290
2020-03-13 00:00:00+00:00,172,95,290
2020-03-14 00:00:00+00:00,209,86,268
2020-03-15 00:00:00+00:00,196,129,294
2020-03-16 00:00:00+00:00,871,285,857
2020-03-17 00:00:00+00:00,436,166,502
2020-03-18 00:00:00+00:00,327,172,493
2020-03-19 00:00:00+00:00,374,136,529
2020-03-20 00:00:00+00:00,314,136,424
2020-03-21 00:00:00+00:00,219,117,411
2020-03-22 00:00:00+00:00,220,84,323
2020-03-23 00:00:00+00:00,231,88,478
2020-03-24 00:00:00+00:00,226,135,368
2020-03-25 00:00:00+00:00,255,109,484
2020-03-26 00:00:00+00:00,349,149,546
2020-03-27 00:00:00+00:00,284,139,604
2020-03-28 00:00:00+00:00,265,137,520
2020-03-29 00:00:00+00:00,303,148,643
2020-03-30 00:00:00+00:00,432,180,679
2020-03-31 00:00:00+00:00,530,242,1018
2020-04-01 00:00:00+00:00,697,298,1447
2020-04-02 00:00:00+00:00,991,393,1788
2020-04-03 00:00:00+00:00,2155,1283,4377
2020-04-04 00:00:00+00:00,2968,1822,6875
2020-04-05 00:00:00+00:00,2600,1508,5769
2020-04-06 00:00:00+00:00,2668,1348,5561
2020-04-07 00:00:00+00:00,2177,1006,4738
2020-04-08 00:00:00+00:00,2067,846,3689
2020-04-09 00:00:00+00:00,1842,723,3127
2020-04-10 00:00:00+00:00,1251,605,2444
2020-04-11 00:00:00+00:00,909,448,1875
2020-04-12 00:00:00+00:00,687,359,1346
2020-04-13 00:00:00+00:00,844,614,2377
2020-04-14 00:00:00+00:00,844,596,2565
2020-04-15 00:00:00+00:00,625,388,1603
2020-04-16 00:00:00+00:00,585,334,1207
2020-04-17 00:00:00+00:00,446,301,1167
2020-04-18 00:00:00+00:00,513,252,1186
2020-04-19 00:00:00+00:00,422,199,1125
2020-04-20 00:00:00+00:00,518,236,966
2020-04-21 00:00:00+00:00,516,319,1139
2020-04-22 00:00:00+00:00,403,245,764
2020-04-23 00:00:00+00:00,543,333,1259
2020-04-24 00:00:00+00:00,471,250,1059
2020-04-25 00:00:00+00:00,274,155,701
2020-04-26 00:00:00+00:00,314,160,648
2020-04-27 00:00:00+00:00,303,168,704
2020-04-28 00:00:00+00:00,243,135,545
