,created_at,Neutral,Opponents,Supporters
0,2020-01-09 00:00:00+00:00,0,0,1
1,2020-01-19 00:00:00+00:00,0,0,1
2,2020-01-20 00:00:00+00:00,1,0,0
3,2020-01-21 00:00:00+00:00,0,1,2
4,2020-01-22 00:00:00+00:00,0,3,2
5,2020-01-23 00:00:00+00:00,0,4,6
6,2020-01-24 00:00:00+00:00,96,2,9
7,2020-01-25 00:00:00+00:00,9,3,16
8,2020-01-26 00:00:00+00:00,13,3,14
9,2020-01-27 00:00:00+00:00,35,9,154
10,2020-01-28 00:00:00+00:00,55,22,89
11,2020-01-29 00:00:00+00:00,43,12,58
12,2020-01-30 00:00:00+00:00,15,8,42
13,2020-01-31 00:00:00+00:00,35,17,102
14,2020-02-01 00:00:00+00:00,24,7,49
15,2020-02-02 00:00:00+00:00,25,28,111
16,2020-02-03 00:00:00+00:00,21,16,89
17,2020-02-04 00:00:00+00:00,37,17,52
18,2020-02-05 00:00:00+00:00,30,16,30
19,2020-02-06 00:00:00+00:00,26,11,76
20,2020-02-07 00:00:00+00:00,13,15,33
21,2020-02-08 00:00:00+00:00,23,18,29
22,2020-02-09 00:00:00+00:00,27,11,38
23,2020-02-10 00:00:00+00:00,29,17,32
24,2020-02-11 00:00:00+00:00,38,27,57
25,2020-02-12 00:00:00+00:00,58,51,61
26,2020-02-13 00:00:00+00:00,62,41,60
27,2020-02-14 00:00:00+00:00,49,17,40
28,2020-02-15 00:00:00+00:00,20,12,26
29,2020-02-16 00:00:00+00:00,20,10,54
30,2020-02-17 00:00:00+00:00,28,20,36
31,2020-02-18 00:00:00+00:00,43,10,31
32,2020-02-19 00:00:00+00:00,46,15,48
33,2020-02-20 00:00:00+00:00,70,27,45
34,2020-02-21 00:00:00+00:00,126,24,51
35,2020-02-22 00:00:00+00:00,38,13,26
36,2020-02-23 00:00:00+00:00,42,10,40
37,2020-02-24 00:00:00+00:00,85,30,99
38,2020-02-25 00:00:00+00:00,49,31,72
39,2020-02-26 00:00:00+00:00,79,38,113
40,2020-02-27 00:00:00+00:00,74,35,137
